,Symbol
0,Acta1
1,Acta2
2,Actb
3,Actc1
4,Actg1
5,Actg2
6,Myh1
7,Myh2
8,Myh3
9,Myh4
10,Myh6
11,Myh7
12,Myh8
13,Myh9
14,Myh10
15,Myh11
16,Myh13
17,Myh14
18,Myh15
19,Myl1
20,Myl2
21,Myl3
22,Myl4
23,Myl5
24,Myl7
25,Myl9
26,Myl10
27,Myl11
28,Myl12A
29,Myl12B
30,Mylk
31,Mylk2
32,Mylk3
33,Mylk4
34,Rhoa
35,Rhob
36,Rhoc
37,Rock1
38,Rock2
39,Flna
40,Flnb
41,Flnc
42,Actn1
43,Actn2
44,Actn3
45,Actn4
46,Tpm1
47,Tpm2
48,Tpm3
49,Tpm4
50,Vim
51,Des
52,Krt8
53,Krt14
54,Krt17
55,Krt18
